vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
7.099999999999991e+000	1.234788e-001	6.976521e-003
7.199999999999990e+000	1.247092e-001	7.075291e-003
7.299999999999990e+000	1.259553e-001	7.174045e-003
7.399999999999990e+000	1.272185e-001	7.272781e-003
7.499999999999989e+000	1.285002e-001	7.371500e-003
7.599999999999989e+000	1.298017e-001	7.470198e-003
7.699999999999989e+000	1.311249e-001	7.568875e-003
7.799999999999988e+000	1.324714e-001	7.667528e-003
7.899999999999988e+000	1.338432e-001	7.766157e-003
7.999999999999988e+000	1.352424e-001	7.864757e-003
8.099999999999987e+000	1.366713e-001	7.963329e-003
8.199999999999987e+000	1.381325e-001	8.061867e-003
8.299999999999987e+000	1.396288e-001	8.160371e-003
8.399999999999986e+000	1.411634e-001	8.258836e-003
8.499999999999986e+000	1.427398e-001	8.357260e-003
8.599999999999985e+000	1.443620e-001	8.455638e-003
8.699999999999985e+000	1.460345e-001	8.553965e-003
8.799999999999985e+000	1.477624e-001	8.652237e-003
8.899999999999984e+000	1.495515e-001	8.750449e-003
8.999999999999984e+000	1.514086e-001	8.848592e-003
9.099999999999984e+000	1.533413e-001	8.946659e-003
9.199999999999983e+000	1.553589e-001	9.044641e-003
9.299999999999983e+000	1.574721e-001	9.142528e-003
9.399999999999983e+000	1.596936e-001	9.240306e-003
9.499999999999982e+000	1.620388e-001	9.337962e-003
9.599999999999982e+000	1.645265e-001	9.435474e-003
9.699999999999982e+000	1.671798e-001	9.532820e-003
9.799999999999981e+000	1.700279e-001	9.629972e-003
9.899999999999981e+000	1.731078e-001	9.726892e-003
9.999999999999981e+000	1.764681e-001	9.823532e-003
1.009999999999998e+001	1.801738e-001	9.919826e-003
1.019999999999998e+001	1.843147e-001	1.001569e-002
1.029999999999998e+001	1.890192e-001	1.011098e-002
1.039999999999998e+001	1.944802e-001	1.020552e-002
1.049999999999998e+001	2.010047e-001	1.029900e-002
1.059999999999998e+001	2.091203e-001	1.039088e-002
1.069999999999998e+001	2.198337e-001	1.048017e-002
1.079999999999998e+001	2.357188e-001	1.056428e-002
1.089999999999998e+001	2.629232e-001	1.063708e-002
1.099999999999998e+001	3.168971e-001	1.068310e-002
